"local.anomaly","resid","res.color"
"0.8860658","-0.1837472064736","#4292C6"
"0.3743559","0.515020927596991","#4292C6"
"-1.498051","0.504160354459039","#4292C6"
"0.3644978","0.458051747456827","#4292C6"
"0.605801","-0.253079894680817","#4292C6"
"-1.148914","0.0135155557001465","#4292C6"
"0.3743559","0.366157174770286","#4292C6"
"-1.498051","0.737736787454462","#4292C6"
"0.9618249","-0.311774155338962","#4292C6"
"0.8615959","0.516985022235492","#4292C6"
"-1.26182","-0.82375199626263","#4292C6"
"0.4063263","1.34526126296192","#4292C6"
"-0.7794177","-0.440911618177217","#4292C6"
"-0.8493645","-0.989227024620559","#4292C6"
"0.8860658","0.248308830984759","#4292C6"
"0.605801","-0.493055079948895","#4292C6"
"-1.498051","0.541948335390791","#4292C6"
"0.8860658","-0.00429636898196106","#4292C6"
"0.605801","0.536749311678555","#4292C6"
"-1.442199","0.615283381835493","#4292C6"
"-0.5376157","0.0264171868941721","#4292C6"
"0.3743559","-0.292778781601255","#4292C6"
"0.3644978","0.468862942449693","#4292C6"
"-1.148914","0.228022732548775","#4292C6"
"0.9618249","-1.65160074813285","#4292C6"
"-0.8493645","-0.157370451091599","#4292C6"
"2.465792","0.10431073163227","#4292C6"
"1.093831","0.0396483775079677","#4292C6"
"-0.004839684","0.0720300089087304","#4292C6"
"0.8615959","-0.883184887560952","#4292C6"
"-1.26182","0.365761374328216","#4292C6"
"-0.8493645","1.18232009990919","#4292C6"
"0.9618249","0.158619731576662","#4292C6"
"0.8860658","-0.0134490258308188","#4292C6"
"0.8615959","0.238942680070501","#4292C6"
"-1.26182","-0.310436884214763","#4292C6"
"0.3756374","0.41609955737803","#4292C6"
"-0.5376157","-1.185222316812","#4292C6"
"-1.498051","-0.480359438499383","#4292C6"
"-1.442199","-0.378916651356222","#4292C6"
"0.8615959","-0.919964301478705","#4292C6"
"-1.498051","-0.135977504125786","#4292C6"
"-1.148914","0.0058324507437182","#4292C6"
"-0.004839684","0.551879585542247","#4292C6"
"0.4063263","0.000988287363250073","#4292C6"
"0.3743559","0.343342728061302","#4292C6"
"0.3644978","0.538529948909395","#4292C6"
"2.465792","0.254306745828416","#4292C6"
"-1.26182","-0.28939920641666","#4292C6"
"-0.8493645","-0.229796147375831","#4292C6"
"0.8860658","-0.284963480551966","#4292C6"
